127.0.0.1 - - [18/Dec/2014:09:47:37 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:47:38 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:47:39 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:47:39 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:47:39 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:47:49 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:47:49 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:48:05 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:48:13 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=4 HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:48:20 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:24 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3986
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:24 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:24 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:24 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:24 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:24 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:27 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=3 HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:49:36 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3991
