127.0.0.1 - - [20/Jan/2015:13:36:35 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:36 +0100] "GET /06_TestFTP/index.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:38 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:43 +0100] "GET /05_TodoApp/index.jsp HTTP/1.1" 200 7332
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:43 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:43 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 200 114011
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:43 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 200 30163
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:43 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:43 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:48 +0100] "GET /06_TestFTP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2015:13:36:48 +0100] "GET /06_TestFTP/ HTTP/1.1" 200 267
